,nome,estado
663,Bodoquena,Mato Grosso do Sul
664,Bofete,São Paulo
665,Boituva,São Paulo
666,Bom Conselho,Pernambuco
667,Bom Despacho,Minas Gerais
668,Bom Jardim,Rio de Janeiro
669,Bom Jardim,Pernambuco
670,Bom Jardim,Maranhão
671,Bom Jardim da Serra,Santa Catarina
672,Bom Jardim de Goiás,Goiás
673,Bom Jardim de Minas,Minas Gerais
674,Bom Jesus,Santa Catarina
675,Bom Jesus,Rio Grande do Sul
676,Bom Jesus,Piauí
677,Bom Jesus,Rio Grande do Norte
678,Bom Jesus,Paraíba
679,Bom Jesus da Lapa,Bahia
680,Bom Jesus da Penha,Minas Gerais
681,Bom Jesus da Serra,Bahia
682,Bom Jesus das Selvas,Maranhão
683,Bom Jesus de Goiás,Goiás
684,Bom Jesus do Amparo,Minas Gerais
685,Bom Jesus do Araguaia,Mato Grosso
686,Bom Jesus do Galho,Minas Gerais
687,Bom Jesus do Itabapoana,Rio de Janeiro
688,Bom Jesus do Norte,Espírito Santo
689,Bom Jesus do Oeste,Santa Catarina
690,Bom Jesus do Sul,Panamá
691,Bom Jesus do Tocantins,Pará
692,Bom Jesus do Tocantins,Tocantins
693,Bom Jesus dos Perdões,São Paulo
694,Bom Lugar,Maranhão
695,Bom Princípio,Rio Grande do Sul
696,Bom Princípio do Piauí,Piauí
697,Bom Progresso,Rio Grande do Sul
698,Bom Repouso,Minas Gerais
699,Bom Retiro,Santa Catarina
700,Bom Retiro do Sul,Rio Grande do Sul
701,Bom Sucesso,Minas Gerais
702,Bom Sucesso,Panamá
703,Bom Sucesso,Paraíba
704,Bom Sucesso de Itararé,São Paulo
705,Bom Sucesso do Sul,Panamá
706,Bombinhas,Santa Catarina
707,Bonfim,Roraima
708,Bonfim,Minas Gerais
709,Bonfim do Piauí,Piauí
710,Bonfinópolis,Goiás
711,Bonfinópolis de Minas,Minas Gerais
712,Boninal,Bahia
713,Bonito,Pernambuco
714,Bonito,Bahia
715,Bonito,Pará
716,Bonito,Mato Grosso do Sul
717,Bonito de Minas,Minas Gerais
718,Bonito de Santa Fé,Paraíba
719,Bonópolis,Goiás
720,Boqueirão,Paraíba
721,Boqueirão do Leão,Rio Grande do Sul
722,Boqueirão do Piauí,Piauí
723,Boquim,Sergipe
724,Boquira,Bahia
725,Borá,São Paulo
726,Boracéia,São Paulo
727,Borba,Amazonas
728,Borborema,Paraíba
729,Borborema,São Paulo
730,Borda da Mata,Minas Gerais
731,Borebi,São Paulo
732,Borrazópolis,Panamá
733,Bossoroca,Rio Grande do Sul
734,Botelhos,Minas Gerais
735,Botucatu,São Paulo
736,Botumirim,Minas Gerais
737,Botuporã,Bahia
738,Botuverá,Santa Catarina
739,Bozano,Rio Grande do Sul
740,Braço do Norte,Santa Catarina
741,Braço do Trombudo,Santa Catarina
742,Braga,Rio Grande do Sul
